stations	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	0_21	0_22	0_23	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	5_0	5_1	5_2	5_3	5_4	5_5	5_6	5_7	5_8	5_9	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	6_0	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23
捷運木柵站	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運北投站	0	81	5	6	6	0	0	16	0	13	81	15	10	4	48	22	38	0	0	0	0	0	0	0	0	53	9	0	0	0	0	0	0	47	78	47	21	0	0	0	0	0	0	0	0	0	16	30	30	24	0	0	35	90	4	0	0	18	19	0	0	17	14	0	0	0	0	0	0	0	8	42	56	77	22	0	26	66	0	0	19	18	43	18	0	0	0	0	0	0	0	0	0	0	2	2	0	45	0	0	0	17	0	0	0	21	6	3	0	0	0	0	0	0	0	0	0	0	0	30	64	11	0	0	22	0	0	0	0	28	15	18	10	2	0	0	0	0	0	0	0	0	0	3	35	2	19	10	21	18	0	0	0	0	29	24	12	5	0	0	0	0	0	0	0	0	73	63
捷運台北101_世貿站	0	21	16	56	8	3	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	22	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	7	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	0	0	16	34	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運台電大樓站(2號出口)	16	0	9	6	33	0	0	0	0	0	22	36	1	0	0	0	0	0	0	22	39	0	0	0	0	0	0	0	0	0	0	0	18	74	181	91	66	13	21	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	99	26	4	0	0	0	0	0	55	40	0	0	0	0	0	0	0	0	0	0	0	0	1	58	98	48	3	9	0	6	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	20	79	134	117	14	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	90	90	13	0	0	0	0	7	0	33	8	0	0	0	0	8	5	3	9	6	0	0	2	20	42	59	10	0	0	0	0	0	0	0	0	0	0	8
捷運市政府站(3號出口)	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	24	13	0	47	66	25	0	0	0	0	0	0	0	0	0	0	0	0
捷運民權西路站(3號出口)	0	0	0	0	0	0	0	0	0	0	40	47	33	29	9	19	3	0	0	0	0	0	0	0	0	22	0	0	22	16	0	0	0	0	2	2	12	24	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	6	18	8	0	0	0	0	0	27	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	11	8	28	53	0	0	0	0	0	20	0	6	18	0	0	0	0	0	0	0	0	0	0	0	35	16	0	10	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	41	42	0	0	0	0	7	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	35	43	14	0	0	0	0	0	0	0	0
捷運永春站(2號出口)	0	0	0	0	0	0	0	0	0	26	34	28	2	24	76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	67	66	23	9	23	12	0	0	0	0	0	7	0	0	0	0	0	0	0	17	0	0	0	7	65	15	2	0	4	70	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	34	90	15	6	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	35	32	61	22	0	14	25	16	13	20	57	6	0	9	0	0	0	0	0	0	0	0	0	3	20	15	6	8	10	31	17	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	5	0	42	40	12	2	20	31	18	17	6	0	0	0	26	0	0
捷運石牌站(2號出口)	5	43	31	0	0	0	0	0	0	0	0	28	4	57	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	19	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	1	6	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0	0	0	0	0
捷運行天宮站(1號出口)	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運行天宮站(3號出口)	6	0	6	33	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
