stations	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	0_21	0_22	0_23	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	5_0	5_1	5_2	5_3	5_4	5_5	5_6	5_7	5_8	5_9	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	6_0	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23
捷運後山埤站(1號出口)	0	0	0	0	0	0	0	0	0	0	16	28	6	17	0	0	0	0	0	0	0	0	0	38	10	0	4	0	0	0	0	0	8	2	16	42	0	10	11	0	0	0	0	0	0	0	0	57	0	0	0	10	0	0	0	0	0	0	18	43	0	3	18	0	0	0	0	0	0	0	0	63	5	0	0	0	5	0	0	0	0	0	8	11	2	14	17	0	0	5	0	0	0	0	0	17	10	0	0	0	0	0	0	0	2	2	34	6	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	32	3	0	0	0	0	0	0	0	0	0	0	5	4	2	19	0	0	0	12	18	5	7	69	12	5	19	34	0	0	0	0	9	4	0	0	0
捷運科技大樓站	0	0	0	0	4	6	0	0	0	3	0	6	0	0	36	59	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	14	15	5	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	5	22	0	0	29	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	29	8	0	0	29	0	7	7	0	0	0	0	3	0
捷運動物園站(2號出口)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運國父紀念館站	0	14	32	105	189	65	27	24	13	18	24	1	0	0	0	0	0	0	0	0	27	17	30	6	6	0	0	4	22	40	6	8	0	0	20	14	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	15	39	14	0	0	17	13	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	9	18	27	0	9	6	34	39	21	0	0	0	0	0	0	0	0	0	0	6	6	0	0	8	0	7	9	3	26	31	18	41	0	0	0	0	0	0	0	0	0	0	0	59	36	0	0	2	11	59	38	9	47	49	4	31	46	4	0	0	0	0	0	0	0	0	0	0	25	32	0	11	73	108	56	34	64	61	77	69	99	0	0	0	0	0	0	0	0	0	0	16	27
捷運善導寺站(1號出口)	0	18	0	0	10	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	0	0	0	0	4	8	11	0	0	0	11	0	0	0	0	0	0	0	0	0	16	58	57	36	22	19	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	23	46	15	0	0	0	0	0	0	6	12	2	0	7	17	2	0	0	0	0	0	0	0	0	0	13	25	8	8	0	9	21	0	16	6	14	63	38	31	0	0	0	0	0	0	0	0	20	7	0	15	16	0	0	7	12	0	3	0	0	0	6	7	8	0	0	0	0	0	0	0	0	0
捷運景美站	0	31	6	19	35	0	6	0	0	5	128	94	18	0	3	9	0	0	0	0	0	0	7	4	20	1	0	0	0	0	0	0	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	22	0	9	34	0	26	6	0	0	0	16	46	25	0	0	0	0	0	0	0	0	0	2	1	0	12	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	28	12	31	52	22	0	0	0	18	0	0	8	4	12	0	4	10	0	0	0	0	0	10	16	22	14	3	6	0	0	0	0	3	0	0	0	0	18	0	0	0	9	0	0	0	0	0	77	46	14	5	20	13	20	6	19	75	39	0	0	3
捷運港墘站(2號出口)	0	0	0	0	0	0	0	0	0	0	0	0	21	87	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0
捷運象山站	7	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
捷運圓山站(2號出口)	0	3	6	0	0	0	0	0	0	0	10	35	31	44	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6	9	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	13	29	0	0	0	0	0	0	0	0	0	0	8
捷運新北投站	0	0	0	0	0	0	0	0	0	0	18	39	0	12	68	47	86	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	44	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	47	27	19	0	0	0	0	0	0	0
捷運臺大醫院(4號出口)	21	2	19	41	59	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	73	35	38	3	19	0	0	0	22	55	30	6	0	0	0	0	0	0	0	0	0	0	0	20	93	13	12	34	33	0	0	2	45	37	8	0	0	0	0	0	0	0	0	26	0	0	0	52	82	37	15	37	23	0	0	7	27	61	15	13	0	0	0	0	0	0	0	0	0	0	0	35	53	9	12	22	41	13	0	8	147	107	9	16	0	0	0	0	0	0	0	0	0	0	0	10	34	18	14	14	11	4	0	28	41	102	19	8	6	0	0	0	0	0	0	0	0	0	0	0	84	44	18	48	52	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	37
捷運劍南路站(2號出口)	0	0	22	41	108	49	8	0	0	6	54	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	12	0	0	0	9	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	46	5	0	0	0	0	0	0	0	0	0	0	0	0
捷運劍潭站(2號出口)	51	16	0	9	62	19	0	0	0	41	136	30	48	88	110	2	0	0	0	0	0	0	0	0	3	7	8	0	0	9	0	9	0	0	14	0	0	16	41	0	0	0	0	0	0	0	0	0	34	31	0	0	26	22	10	11	5	70	81	0	0	28	3	18	0	0	0	15	4	7	0	0	9	22	3	0	27	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	25	27	0	2	0	9	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	35	11	0	42	19	35	11	0	0	23	55	37	3	0	6	0	0	0	0	0	0	0	0	12	28	14	16	9	19	35	11	0	0	24	189	50	0	60	34	6	0	0	0	0	0	0	0	21
捷運龍山寺站(1號出口)	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	8	10	27	11	0	0	0	0	0	0	0	12	16	14	0	26	0	0	17	13	0	0	0	11	0	10	12	0	0	0	0	0	0	0	0	0	2	55	0	7	11	19	0	0	0	0	0	10	0	0	5	23	8	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	3	25	12	2	19	0	12	0	0	0	0	0	0	0	0	0	34	0	0	33	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	23
捷運雙連站(2號出口)	0	0	0	0	0	0	0	0	0	0	36	31	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0	10	20	8	18	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	59	108	89	24	9	15	0	0	0	0	0	0	0	0	0
捷鋥--投站	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
復華花園新城	0	0	0	0	0	0	0	0	0	0	17	25	0	4	19	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	69	9	38	84	12	0	0	0	0	0	0	0	0	3	13	0	14	0	0	0	0	0	39	30	82	12	58	98	13	0	6	37	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	123	5	41	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	70	101	52	39	102	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	28	109	81	6	39	141	7	0	0	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	39	0	0	16	1	0	0	0	0	0	0	0	0
敦化基隆路口	0	0	0	0	0	0	0	0	0	0	0	0	5	0	18	7	5	21	0	0	0	0	0	0	52	77	50	0	0	11	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	112	31	5	0	0	0	24	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	25	80	22	0	0	0	13	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	34	28	0	0	0	15	0	13	0	0	0	0	0	7	5	0	0	0	0	0	0	0	10	27	77	12	0	0	8	8	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
華山文創園區	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	19	11	19	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	53	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	24	49	0	7	20	23	20	0	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
華江高中	11	0	0	0	0	0	0	0	0	0	0	41	52	52	121	45	0	0	0	0	0	0	0	12	24	9	0	0	0	0	0	0	0	0	0	3	27	6	94	18	0	0	0	30	30	0	0	20	60	7	0	0	0	0	0	0	0	0	0	44	93	17	41	26	0	0	0	0	0	0	0	23	10	17	0	0	0	0	0	0	0	0	0	0	14	85	62	0	0	0	0	0	0	0	0	15	19	8	0	0	0	0	13	0	0	0	0	11	44	20	150	38	5	0	0	0	0	0	0	67	51	6	0	0	3	18	0	0	0	0	0	5	11	24	189	64	23	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	63	38	124	94	13	0	0	13	0	0	0	0	6
華西公園	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	3	2	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	65	35	32	83	32	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	14	98	52	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	17	6	0	46	94	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	58	2	4	0	3	0	2	0	0	0	0	0	0	0
開封西寧路口	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	38	38	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	35	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
新生和平路口	45	16	61	8	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	1	14	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	12	23	33	0	0	0	0	0	0	0	0	0	29	31	0	32	31	0	0	0	0	0	0	0	0	15	21	51	38	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
新生長安路口	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
新生長春路口	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	5	56	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
瑞光港墘路口	0	0	0	0	19	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	130	21	24	0	0	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	126	78	60	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	40	1	9	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	42	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	25	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
萬大興寧街口	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	0	0	0	0	0	0	0	0	0	0	5	0	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
裕隆公園	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	45	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	21	27	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	38	15	11	0	0	0	0	0
榮星花園	0	12	6	10	0	0	0	0	0	0	40	40	65	109	94	30	56	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	150	24	15	123	63	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	48	142	46	0	37	51	34	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23	9	80	97	82	15	61	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	84	28	11	65	110	10	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	18	136	92	15	5	26	113	7	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	57	28	19	54	36	34	0	21	39	0	0	0	0
福林公園	0	27	26	45	15	0	0	0	0	0	0	15	0	40	64	12	0	0	0	0	0	0	0	0	0	0	0	17	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	18	9	57	7	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
福德公園	0	0	0	0	0	0	0	0	0	9	49	17	31	115	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	77	0	56	158	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	49	20	0	44	21	48	4	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	62	10	25	100	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	62	54	43	76	11	54	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	5	15	23	40	48	70	34	23	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	55	2	4	16	23	152	67	8	0	0	0	0	0	0	54
臺大資訊大樓	25	120	116	91	51	0	6	27	0	0	0	0	0	60	46	0	0	0	0	0	0	0	0	22	159	91	55	15	99	46	83	8	29	17	2	23	12	0	0	0	0	0	0	0	0	0	0	12	138	72	44	58	100	70	84	17	2	2	25	8	0	0	0	0	0	0	0	0	0	0	0	9	117	21	17	11	66	62	39	16	20	12	3	0	0	0	0	0	0	0	0	0	0	0	0	28	112	122	48	30	97	129	23	0	28	13	15	2	0	0	0	0	0	0	0	0	0	0	0	35	122	68	29	7	87	114	59	18	8	0	17	6	0	0	0	0	0	0	0	0	0	0	0	0	61	95	68	0	103	57	38	24	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
臺北孔廟	0	0	0	0	0	0	0	0	0	35	61	44	28	112	94	105	17	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	36	104	148	10	30	73	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	76	72	60	28	45	90	10	23	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17	97	57	0	52	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	71	116	48	10	7	182	45	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	0	0	19	42	32	4	50	4	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	12	14	14	5	42	76	57	45	0	0	0	0	0	0	0
臺北市立圖書館(總館)	16	186	35	25	0	0	6	3	0	0	0	0	25	76	182	77	16	24	28	0	0	0	0	0	0	0	24	0	0	0	0	15	6	0	9	34	42	43	8	11	19	0	0	0	0	0	0	0	0	0	26	0	0	0	8	2	0	0	9	54	7	0	26	0	0	18	0	0	0	0	0	0	0	23	2	0	0	0	0	4	0	0	15	28	25	23	105	33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	29	104	38	3	21	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	30	0	69	82	29	15	9	0	0	0	0	0	9	60	31	0	0	32	28	21	15	0	0	0	0	0	29	85	68	1	0	0	0	0	0	0
臺北市客家文化主題公園	0	11	0	0	0	0	0	0	0	0	19	23	55	46	22	6	30	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	55	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	52	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	26	0	12	32	68	60	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	16	55	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	13	8	0	0	0	0	0	0	0	0	0
臺北田徑場	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	97	28	16	13	6	46	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	18	4	0	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	126	14	7	50	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	35	27	0	6	35	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	19	42	9	0	6	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	9	19	0	0	0	0	0	0	0	0	0	0	0	0
臺北轉運站	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	36	56	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	57	15	27	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	76	121	54	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	36	117	32	47	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	8	20	104	135	112	41	7	5	0	0	0	0	0	0	0	0	0	0	0	9	14	29	5	0	2	23	8	16	39	5	0	0	0	0	0	0	0	0	0	0	0
臺北醫學大學	24	33	11	0	0	0	0	3	12	48	60	41	50	228	137	77	6	0	0	0	0	0	0	12	146	70	72	92	49	60	54	2	0	0	30	6	9	10	39	0	0	0	0	0	0	0	0	0	92	100	34	18	32	28	66	3	0	0	0	39	6	25	60	39	14	0	0	0	0	0	0	8	114	72	86	0	5	44	20	26	29	0	0	22	20	2	25	3	0	0	0	0	0	0	0	0	27	100	117	6	60	47	0	4	60	7	0	38	0	19	3	6	0	0	0	0	6	0	0	0	44	81	77	55	22	16	50	7	4	0	0	14	0	43	5	40	15	0	29	17	13	7	0	0	9	34	15	5	0	0	1	8	34	2	25	25	45	82	27	48	8	1	0	0	0	0	0	0
